typeofaction,sourceid,destinationid,amountofmoney,date,isfraud,typeoffraud
transfer,860,701,710.69,2022-03-07 08:26,1,type2
transfer,684,486,657.51,2022-03-07 08:27,1,type2
transfer,628,456,646.88,2022-03-07 08:28,1,type2
transfer,716,767,694.53,2022-03-07 08:29,1,type2
transfer,554,337,688.61,2022-03-07 08:30,1,type2
transfer,145,696,19281.14,2020-03-06 10:20,1,type3
transfer,674,696,19516.59,2024-01-16 18:02,1,type3
transfer,435,696,20574.97,2023-11-26 06:55,1,type3
transfer,952,696,19235.18,2024-06-07 08:57,1,type3
transfer,306,696,20353.49,2023-04-30 04:09,1,type3
transfer,288,116,6498.34,2024-11-26 08:58,0,none
cash-in,380,809,9211.97,2024-12-15 03:02,0,none
cash-in,705,418,6014.21,2020-09-26 18:12,0,none
cash-in,804,827,2943.77,2022-10-16 15:27,0,none
cash-in,878,626,6150.59,2023-09-21 12:34,0,none
transfer,877,319,2113.84,2020-05-29 21:30,0,none
transfer,507,484,3206.91,2023-10-30 18:09,0,none
transfer,882,707,5758.97,2020-01-31 12:10,0,none
cash-in,309,558,6552.34,2020-01-05 20:11,0,none
transfer,399,289,6152.16,2022-07-17 16:43,0,none
transfer,568,688,2098.64,2020-12-04 18:17,0,none
cash-in,694,639,2470.62,2024-06-08 16:12,0,none
transfer,526,185,1372.59,2022-03-13 05:23,0,none
transfer,810,743,7070.02,2023-05-01 05:53,0,none
transfer,153,265,6695.03,2020-12-29 21:57,0,none
transfer,355,581,20464.57,2023-06-15 01:09,1,type1
transfer,355,986,19298.83,2022-08-17 14:01,1,type1
transfer,355,324,19611.71,2020-11-28 17:29,1,type1
transfer,355,241,19587.14,2021-05-11 08:05,1,type1
transfer,355,687,19018.82,2021-11-23 20:46,1,type1
transfer,586,330,746.11,2022-12-05 19:09,1,type2
transfer,281,971,726.67,2022-12-05 19:10,1,type2
transfer,466,731,757.16,2022-12-05 19:11,1,type2
transfer,897,171,780.02,2022-12-05 19:12,1,type2
transfer,30,710,772.31,2022-12-05 19:13,1,type2
transfer,310,945,20622.15,2020-11-27 13:52,1,type3
transfer,385,945,20969.62,2024-02-14 09:19,1,type3
transfer,541,945,20865.54,2024-06-07 00:56,1,type3
transfer,488,945,19233.04,2020-10-29 09:12,1,type3
transfer,4,945,20261.19,2020-01-09 04:47,1,type3
transfer,508,852,4719.02,2024-09-26 11:18,0,none
transfer,669,254,3410.94,2021-06-23 01:11,0,none
cash-in,379,551,5557.81,2020-10-03 00:39,0,none
transfer,125,359,2038.96,2022-07-20 22:50,0,none
cash-in,800,597,377.88,2021-04-02 03:31,0,none
transfer,155,603,4487.25,2020-05-20 01:06,0,none
transfer,512,670,8016.58,2023-09-06 19:23,0,none
cash-in,360,425,7751.77,2023-05-19 07:47,0,none
cash-in,716,330,3535.94,2020-03-27 14:56,0,none
transfer,959,301,7241.84,2021-05-14 10:09,0,none
transfer,159,800,1897.76,2021-12-07 05:53,0,none
transfer,647,204,7537.08,2022-05-26 19:21,0,none
cash-in,571,525,2150.66,2020-04-30 17:03,0,none
transfer,88,876,3853.25,2022-10-28 12:49,0,none
transfer,312,35,4584.24,2024-01-03 06:51,0,none
transfer,649,367,20822.85,2024-10-24 05:11,1,type1
transfer,649,128,19278.07,2023-01-31 08:47,1,type1
transfer,649,364,20211.73,2021-10-12 11:44,1,type1
transfer,649,611,19143.39,2020-07-20 21:46,1,type1
transfer,649,872,20601.11,2024-02-08 20:06,1,type1
transfer,48,810,628.8,2021-01-24 22:38,1,type2
transfer,564,382,631.32,2021-01-24 22:39,1,type2
transfer,462,909,596.23,2021-01-24 22:40,1,type2
transfer,644,376,581.12,2021-01-24 22:41,1,type2
transfer,957,682,632.87,2021-01-24 22:42,1,type2
transfer,354,689,20921.39,2022-12-10 17:52,1,type3
transfer,214,689,19830.75,2024-11-21 10:51,1,type3
transfer,63,689,19559.56,2023-12-22 10:52,1,type3
transfer,908,689,20660.91,2021-01-08 01:35,1,type3
transfer,910,689,20472.42,2020-10-19 04:11,1,type3
cash-in,676,339,8544.92,2023-07-13 23:07,0,none
transfer,526,500,6940.7,2022-09-21 16:06,0,none
cash-in,848,139,9045.38,2022-12-29 08:01,0,none
cash-in,659,954,3334.74,2024-07-06 05:26,0,none
transfer,886,763,1600.96,2024-04-02 19:35,0,none
cash-in,519,391,1605.43,2021-07-10 05:56,0,none
transfer,329,711,9225.98,2020-08-24 10:04,0,none
transfer,936,608,6219.48,2021-12-28 20:30,0,none
transfer,729,395,2570.06,2024-04-03 03:58,0,none
cash-in,304,870,150.88,2024-04-07 08:49,0,none
cash-in,10,687,9277.02,2024-11-27 07:52,0,none
cash-in,694,720,737.76,2023-10-04 03:32,0,none
cash-in,123,321,412.73,2022-03-18 16:23,0,none
transfer,244,812,3783.29,2024-08-07 15:33,0,none
transfer,310,138,8924.93,2024-06-03 22:49,0,none
transfer,265,247,19029.08,2023-02-10 08:54,1,type1
transfer,265,169,20374.17,2021-07-20 13:18,1,type1
transfer,265,35,20002.53,2020-03-14 18:42,1,type1
transfer,265,106,20949.22,2023-02-08 11:38,1,type1
transfer,265,876,20170.77,2022-12-12 07:50,1,type1
transfer,343,293,994.46,2024-11-17 02:04,1,type2
transfer,681,614,953.26,2024-11-17 02:05,1,type2
transfer,761,120,937.16,2024-11-17 02:06,1,type2
transfer,525,771,971.27,2024-11-17 02:07,1,type2
transfer,658,640,956.83,2024-11-17 02:08,1,type2
transfer,272,577,19159.52,2024-04-28 08:02,1,type3
transfer,437,577,20871.5,2022-01-31 07:18,1,type3
transfer,114,577,19961.84,2023-07-17 04:07,1,type3
transfer,836,577,19733.37,2021-10-24 01:05,1,type3
transfer,941,577,19205.44,2020-07-27 04:12,1,type3
cash-in,785,563,3920.63,2024-11-17 15:30,0,none
cash-in,746,89,5055.44,2023-12-28 12:15,0,none
cash-in,271,995,263.6,2023-06-30 10:32,0,none
cash-in,238,487,1500.64,2024-01-26 10:52,0,none
transfer,180,17,6220.8,2021-01-17 23:13,0,none
cash-in,128,773,6466.5,2023-09-21 15:25,0,none
transfer,646,114,176.5,2021-02-04 04:01,0,none
transfer,159,639,8081.29,2023-03-21 06:29,0,none
cash-in,846,676,650.52,2022-03-26 09:57,0,none
transfer,183,395,2464.43,2023-08-04 23:40,0,none
transfer,515,96,2535.37,2020-11-29 02:57,0,none
cash-in,799,727,6264.49,2020-09-25 08:16,0,none
cash-in,502,479,5671.51,2021-07-05 22:21,0,none
cash-in,188,742,4740.43,2023-04-24 14:43,0,none
transfer,361,670,8522.96,2024-01-15 06:19,0,none
transfer,399,871,20121.65,2024-04-24 14:41,1,type1
transfer,399,540,20962.06,2022-12-13 02:41,1,type1
transfer,399,612,20696.86,2024-04-27 01:15,1,type1
transfer,399,785,19271.01,2020-08-22 10:12,1,type1
transfer,399,696,19413.47,2023-01-22 10:11,1,type1
transfer,822,823,32.56,2022-02-17 22:32,1,type2
transfer,989,423,33.32,2022-02-17 22:33,1,type2
transfer,644,894,33.71,2022-02-17 22:34,1,type2
transfer,610,666,33.32,2022-02-17 22:35,1,type2
transfer,428,293,35.5,2022-02-17 22:36,1,type2
transfer,796,55,20636.67,2022-08-21 06:36,1,type3
transfer,58,55,19232.96,2024-04-02 04:07,1,type3
transfer,219,55,19590.75,2021-03-08 23:55,1,type3
transfer,291,55,19119.04,2020-05-10 10:52,1,type3
transfer,238,55,20908.09,2022-05-08 21:30,1,type3
transfer,733,16,1928.06,2022-09-20 12:29,0,none
cash-in,97,172,7514.09,2023-08-08 06:14,0,none
cash-in,777,261,7214.49,2024-12-09 17:45,0,none
cash-in,771,919,5194.69,2022-05-06 12:29,0,none
cash-in,899,361,92.42,2022-03-12 09:18,0,none
cash-in,683,641,4551.63,2020-10-18 15:47,0,none
cash-in,217,783,7598.36,2022-03-31 02:51,0,none
cash-in,829,416,235.51,2020-05-07 13:17,0,none
transfer,393,295,4496.43,2021-08-27 23:42,0,none
cash-in,197,735,6803.42,2024-09-08 22:50,0,none
cash-in,863,191,6629.72,2023-09-09 05:29,0,none
transfer,575,158,4306.86,2024-09-29 22:08,0,none
cash-in,596,722,7700.57,2024-05-21 11:50,0,none
transfer,48,524,4245.51,2021-06-30 22:20,0,none
transfer,702,847,2753.12,2024-01-25 15:42,0,none
transfer,792,516,19792.8,2024-02-23 08:45,1,type1
transfer,792,98,20354.23,2021-11-18 13:15,1,type1
transfer,792,774,19237.95,2023-01-18 05:44,1,type1
transfer,792,186,20292.92,2020-02-18 07:31,1,type1
transfer,792,627,20397.35,2022-06-21 11:16,1,type1
transfer,678,829,740.63,2020-05-02 18:25,1,type2
transfer,735,594,730.14,2020-05-02 18:26,1,type2
transfer,939,827,774.97,2020-05-02 18:27,1,type2
transfer,443,856,745.86,2020-05-02 18:28,1,type2
transfer,665,662,770.29,2020-05-02 18:29,1,type2
transfer,730,543,20044.77,2022-04-28 18:08,1,type3
transfer,429,543,19562.31,2023-03-18 15:14,1,type3
transfer,358,543,20636.06,2024-04-01 13:31,1,type3
transfer,761,543,19881.31,2022-04-29 11:31,1,type3
transfer,806,543,20709.79,2022-06-30 15:20,1,type3
transfer,216,809,1351.61,2024-10-24 14:51,0,none
cash-in,891,60,328.96,2023-02-27 13:45,0,none
transfer,957,999,1262.16,2023-02-01 06:21,0,none
cash-in,997,418,6881.43,2023-12-09 13:22,0,none
cash-in,48,571,9812.84,2021-09-06 13:29,0,none
cash-in,607,209,2431.66,2023-08-06 23:09,0,none
cash-in,294,373,1387.78,2022-02-03 14:42,0,none
cash-in,414,143,4375.02,2020-01-11 01:23,0,none
cash-in,332,811,6616.02,2023-06-18 02:42,0,none
transfer,621,782,2384.37,2024-12-16 17:50,0,none
cash-in,302,194,3507.99,2021-08-13 17:54,0,none
transfer,139,839,8784.96,2023-04-08 11:51,0,none
cash-in,207,826,3188.33,2023-05-30 03:56,0,none
cash-in,998,358,9394.01,2021-12-23 05:37,0,none
transfer,470,316,4785.55,2024-07-30 09:01,0,none
transfer,215,571,20850.46,2021-02-18 09:39,1,type1
transfer,215,502,19991.15,2023-10-16 20:17,1,type1
transfer,215,428,19870.33,2023-07-17 07:24,1,type1
transfer,215,476,20617.43,2023-10-04 19:18,1,type1
transfer,215,941,20534.69,2021-04-10 14:08,1,type1
transfer,71,452,41.6,2021-11-30 04:55,1,type2
transfer,764,383,40.05,2021-11-30 04:56,1,type2
transfer,549,251,39.76,2021-11-30 04:57,1,type2
transfer,343,61,40.24,2021-11-30 04:58,1,type2
transfer,682,938,40.79,2021-11-30 04:59,1,type2
transfer,97,513,20719.81,2022-06-29 15:51,1,type3
transfer,778,513,19781.48,2022-11-21 13:46,1,type3
transfer,707,513,20242.7,2023-11-25 16:09,1,type3
transfer,57,513,19899.93,2024-01-22 08:30,1,type3
transfer,750,513,20453.28,2021-01-04 09:59,1,type3
cash-in,814,7,8444.18,2023-04-12 19:24,0,none
cash-in,333,767,1328.22,2023-03-19 13:31,0,none
transfer,383,742,4296.0,2022-01-10 16:06,0,none
transfer,40,671,8915.25,2022-05-13 12:28,0,none
transfer,299,873,4732.44,2022-01-28 17:53,0,none
transfer,271,439,6469.64,2024-08-24 16:30,0,none
cash-in,152,459,7819.06,2023-08-04 11:05,0,none
transfer,456,76,1665.86,2020-02-29 09:56,0,none
cash-in,438,481,6871.33,2022-10-14 20:20,0,none
cash-in,492,117,49.99,2022-03-12 21:05,0,none
cash-in,370,195,9839.46,2020-06-10 19:43,0,none
transfer,176,773,4223.63,2021-07-15 01:26,0,none
transfer,774,121,1991.32,2022-11-02 10:17,0,none
cash-in,662,317,1796.89,2020-10-17 01:04,0,none
transfer,872,880,8731.5,2020-05-16 21:37,0,none
transfer,871,244,20969.83,2021-07-06 12:19,1,type1
transfer,871,882,19036.9,2022-07-07 18:35,1,type1
transfer,871,788,19590.82,2023-11-20 09:25,1,type1
transfer,871,145,20591.97,2024-05-25 19:46,1,type1
transfer,871,296,20975.97,2023-02-22 06:52,1,type1
transfer,653,257,650.69,2020-11-06 07:53,1,type2
transfer,686,95,642.87,2020-11-06 07:54,1,type2
transfer,260,797,630.0,2020-11-06 07:55,1,type2
transfer,683,141,676.28,2020-11-06 07:56,1,type2
transfer,145,547,632.93,2020-11-06 07:57,1,type2
transfer,498,122,19528.94,2022-05-03 11:21,1,type3
transfer,877,122,20211.87,2020-10-22 14:20,1,type3
transfer,837,122,19596.68,2023-04-25 15:53,1,type3
transfer,25,122,20875.23,2020-10-24 09:30,1,type3
transfer,321,122,19231.72,2022-03-18 10:06,1,type3
transfer,955,380,1762.03,2023-01-19 03:40,0,none
cash-in,291,621,8278.98,2022-01-27 19:04,0,none
cash-in,774,64,5234.3,2021-08-23 07:13,0,none
cash-in,404,176,2175.95,2023-10-18 13:26,0,none
cash-in,675,596,5094.36,2023-08-05 17:34,0,none
cash-in,990,224,5821.3,2020-07-28 19:50,0,none
transfer,269,679,5351.39,2022-04-11 07:30,0,none
cash-in,38,952,2207.22,2024-08-19 14:44,0,none
cash-in,674,903,311.04,2021-07-30 17:39,0,none
transfer,1000,128,5964.53,2021-02-11 01:46,0,none
cash-in,280,979,2716.29,2021-06-06 18:47,0,none
cash-in,82,133,3923.34,2024-07-07 05:04,0,none
cash-in,675,391,7148.79,2020-02-05 20:41,0,none
cash-in,710,960,1338.63,2023-07-21 09:18,0,none
cash-in,796,449,2638.62,2024-05-17 23:11,0,none
transfer,767,352,19456.39,2020-07-13 20:38,1,type1
transfer,767,907,20749.37,2023-08-05 22:42,1,type1
transfer,767,536,20590.6,2024-02-15 05:32,1,type1
transfer,767,885,20902.63,2023-10-20 22:16,1,type1
transfer,767,314,20586.23,2020-09-29 10:05,1,type1
transfer,482,507,161.14,2022-03-16 09:06,1,type2
transfer,126,792,162.6,2022-03-16 09:07,1,type2
transfer,726,444,166.6,2022-03-16 09:08,1,type2
transfer,611,921,175.28,2022-03-16 09:09,1,type2
transfer,829,410,167.89,2022-03-16 09:10,1,type2
transfer,267,728,19319.14,2022-12-20 12:38,1,type3
transfer,477,728,19294.81,2024-04-20 11:13,1,type3
transfer,611,728,20768.22,2021-10-23 00:06,1,type3
transfer,482,728,20454.42,2021-02-18 18:43,1,type3
transfer,210,728,20721.26,2023-09-15 15:39,1,type3
cash-in,851,173,4452.72,2024-01-17 12:20,0,none
cash-in,24,199,9022.16,2020-01-02 20:15,0,none
transfer,91,796,1446.22,2023-11-04 10:46,0,none
cash-in,23,367,1677.04,2024-05-05 17:11,0,none
transfer,639,821,3737.45,2021-04-24 20:40,0,none
cash-in,781,666,5805.86,2023-07-11 17:12,0,none
transfer,862,54,6580.9,2023-09-26 15:02,0,none
cash-in,74,30,4035.63,2022-02-09 19:40,0,none
transfer,848,818,5085.56,2021-07-20 23:03,0,none
transfer,761,846,2339.23,2022-04-21 04:25,0,none
transfer,854,601,7259.49,2023-12-18 05:50,0,none
transfer,161,571,8648.25,2022-04-06 05:12,0,none
cash-in,2,676,5768.25,2024-08-01 03:40,0,none
cash-in,58,36,1091.68,2020-10-18 13:38,0,none
cash-in,231,677,1095.67,2023-06-29 18:31,0,none
transfer,277,567,19749.31,2021-02-19 20:39,1,type1
transfer,277,259,20421.12,2021-04-10 08:24,1,type1
transfer,277,712,19470.77,2023-11-18 11:22,1,type1
transfer,277,272,19914.95,2023-01-19 12:31,1,type1
transfer,277,129,20222.81,2022-02-14 12:03,1,type1
transfer,957,159,918.77,2022-05-08 08:02,1,type2
transfer,55,632,999.32,2022-05-08 08:03,1,type2
transfer,311,790,956.27,2022-05-08 08:04,1,type2
transfer,435,161,968.83,2022-05-08 08:05,1,type2
transfer,288,788,916.31,2022-05-08 08:06,1,type2
transfer,771,409,19236.29,2020-12-24 11:13,1,type3
transfer,268,409,19535.45,2022-06-15 17:12,1,type3
transfer,216,409,20946.25,2021-09-24 07:29,1,type3
transfer,772,409,20975.98,2021-11-29 01:39,1,type3
transfer,58,409,20699.37,2020-06-08 11:29,1,type3
transfer,651,261,5301.81,2022-12-04 21:05,0,none
transfer,158,252,7187.03,2020-10-13 14:16,0,none
cash-in,438,120,4244.52,2024-07-03 15:51,0,none
cash-in,973,381,7802.04,2023-02-08 10:12,0,none
transfer,669,550,6423.66,2022-03-04 02:03,0,none
cash-in,928,487,800.46,2024-09-19 20:30,0,none
transfer,761,77,3336.38,2023-08-20 18:24,0,none
transfer,426,695,545.61,2023-09-04 21:28,0,none
cash-in,629,655,2370.47,2021-05-27 04:12,0,none
transfer,743,426,1587.98,2023-08-02 23:53,0,none
transfer,976,36,360.47,2021-12-26 06:38,0,none
transfer,425,237,2702.49,2023-08-12 04:42,0,none
transfer,343,392,842.07,2024-10-29 08:09,0,none
cash-in,814,968,7462.71,2024-02-12 15:31,0,none
cash-in,164,703,9378.23,2021-04-19 03:23,0,none
transfer,494,744,20806.75,2022-09-26 16:06,1,type1
transfer,494,549,19496.5,2020-03-28 10:31,1,type1
transfer,494,338,19725.17,2022-10-04 13:17,1,type1
transfer,494,726,20694.34,2024-01-30 00:56,1,type1
transfer,494,902,19777.04,2023-02-20 18:33,1,type1
transfer,55,750,113.9,2024-06-04 19:53,1,type2
transfer,940,987,113.54,2024-06-04 19:54,1,type2
transfer,617,474,111.12,2024-06-04 19:55,1,type2
transfer,125,492,106.13,2024-06-04 19:56,1,type2
transfer,488,724,114.67,2024-06-04 19:57,1,type2
transfer,101,984,19699.9,2022-03-06 08:58,1,type3
transfer,993,984,19495.12,2022-05-18 21:39,1,type3
transfer,351,984,19481.15,2024-03-22 04:32,1,type3
transfer,100,984,19887.9,2020-12-29 04:37,1,type3
transfer,157,984,19648.58,2023-07-07 02:29,1,type3
cash-in,185,279,5017.7,2020-06-28 14:03,0,none
transfer,297,95,3265.67,2023-02-01 18:43,0,none
cash-in,29,678,414.67,2020-12-17 03:05,0,none
transfer,537,796,273.22,2021-12-21 01:36,0,none
cash-in,685,199,536.3,2021-01-19 16:15,0,none
cash-in,293,391,2156.07,2024-07-23 07:06,0,none
cash-in,157,507,5260.1,2023-11-12 11:23,0,none
cash-in,579,558,2397.15,2024-12-08 03:47,0,none
cash-in,329,364,1401.52,2023-03-19 06:25,0,none
transfer,214,446,699.94,2021-03-27 21:24,0,none
cash-in,894,783,5913.96,2022-10-13 16:59,0,none
cash-in,112,86,1102.5,2022-09-24 07:37,0,none
cash-in,796,671,1984.08,2022-12-27 06:39,0,none
cash-in,141,877,789.24,2021-04-22 09:14,0,none
cash-in,481,557,2792.61,2021-07-17 20:13,0,none
transfer,700,423,19431.59,2021-09-13 18:57,1,type1
transfer,700,95,19809.45,2023-07-25 19:14,1,type1
transfer,700,615,19643.1,2023-02-16 20:03,1,type1
transfer,700,581,20745.92,2024-05-02 22:33,1,type1
transfer,700,961,20865.27,2020-01-07 04:44,1,type1
transfer,923,781,328.25,2024-07-12 07:32,1,type2
transfer,87,427,335.92,2024-07-12 07:33,1,type2
transfer,383,971,315.24,2024-07-12 07:34,1,type2
transfer,350,645,325.33,2024-07-12 07:35,1,type2
transfer,661,716,322.26,2024-07-12 07:36,1,type2
transfer,507,13,19747.87,2021-07-26 22:11,1,type3
transfer,71,13,20195.44,2022-11-01 17:36,1,type3
transfer,792,13,20805.49,2021-06-11 22:21,1,type3
transfer,49,13,19797.79,2022-12-24 07:42,1,type3
transfer,924,13,19484.84,2023-02-20 00:02,1,type3
transfer,50,158,4492.98,2023-03-19 10:35,0,none
cash-in,903,820,8566.23,2020-02-02 00:04,0,none
cash-in,386,124,60.67,2021-03-15 18:22,0,none
transfer,306,378,2895.17,2023-06-16 19:33,0,none
transfer,391,557,1919.93,2021-05-12 22:22,0,none
transfer,808,671,5635.81,2024-09-12 10:39,0,none
transfer,21,901,6510.48,2023-03-17 02:54,0,none
transfer,337,214,6900.0,2021-11-30 00:04,0,none
cash-in,91,496,1364.11,2021-09-09 03:14,0,none
transfer,575,308,7829.62,2024-05-30 04:59,0,none
transfer,411,776,9003.42,2023-04-04 16:00,0,none
transfer,124,130,6651.73,2021-07-17 05:06,0,none
transfer,69,889,2995.78,2020-09-20 01:32,0,none
transfer,273,697,7325.59,2023-06-28 11:17,0,none
transfer,758,787,4370.56,2024-08-24 01:12,0,none
transfer,980,438,19284.58,2020-02-06 15:37,1,type1
transfer,980,303,19633.92,2024-02-29 05:15,1,type1
transfer,980,521,19442.11,2020-05-05 09:11,1,type1
transfer,980,835,19524.94,2023-01-20 08:34,1,type1
transfer,980,396,20861.76,2023-07-18 08:10,1,type1
transfer,693,482,695.48,2021-02-14 03:50,1,type2
transfer,797,480,735.25,2021-02-14 03:51,1,type2
transfer,923,194,726.1,2021-02-14 03:52,1,type2
transfer,639,971,710.83,2021-02-14 03:53,1,type2
transfer,304,972,736.49,2021-02-14 03:54,1,type2
transfer,453,675,20868.64,2022-08-06 20:34,1,type3
transfer,410,675,20780.77,2023-02-27 02:44,1,type3
transfer,864,675,20812.98,2023-09-26 06:19,1,type3
transfer,666,675,20251.51,2022-12-10 20:42,1,type3
transfer,109,675,19372.97,2021-07-05 06:33,1,type3
transfer,538,327,8406.64,2022-04-05 13:46,0,none
transfer,45,892,5791.74,2024-08-26 06:19,0,none
transfer,468,696,6122.47,2024-10-24 06:05,0,none
cash-in,922,511,2024.72,2021-06-20 02:47,0,none
transfer,532,157,161.07,2024-06-21 12:13,0,none
transfer,947,118,8996.31,2024-12-22 11:26,0,none
transfer,45,32,3573.63,2024-03-31 13:03,0,none
transfer,419,297,1579.38,2023-07-14 23:08,0,none
cash-in,126,585,468.84,2024-11-11 07:22,0,none
cash-in,968,636,4469.44,2021-05-27 09:36,0,none
cash-in,192,179,756.98,2023-01-27 00:48,0,none
cash-in,399,286,4122.34,2024-11-17 09:36,0,none
cash-in,82,473,124.19,2022-10-07 09:00,0,none
transfer,923,259,4928.12,2023-09-28 21:35,0,none
cash-in,515,126,5361.36,2021-11-14 19:18,0,none
transfer,556,822,20390.15,2021-07-30 02:16,1,type1
transfer,556,938,20786.82,2023-12-14 17:47,1,type1
transfer,556,492,19145.4,2021-12-23 12:18,1,type1
transfer,556,33,19036.88,2022-03-27 01:18,1,type1
transfer,556,688,20582.02,2022-10-09 09:44,1,type1
transfer,819,869,947.44,2022-09-28 11:28,1,type2
transfer,762,643,945.29,2022-09-28 11:29,1,type2
transfer,969,377,871.12,2022-09-28 11:30,1,type2
transfer,185,701,904.67,2022-09-28 11:31,1,type2
transfer,784,498,904.37,2022-09-28 11:32,1,type2
transfer,649,150,20853.66,2021-07-19 07:45,1,type3
transfer,852,150,20804.29,2020-11-20 07:05,1,type3
transfer,135,150,19522.28,2020-09-22 06:01,1,type3
transfer,224,150,19911.21,2020-09-03 06:24,1,type3
transfer,145,150,20387.32,2023-10-13 23:42,1,type3
transfer,271,338,2106.27,2020-09-11 07:05,0,none
cash-in,147,928,5253.51,2023-06-14 07:42,0,none
transfer,896,468,668.68,2021-10-11 10:16,0,none
cash-in,890,439,2181.94,2021-09-12 10:53,0,none
cash-in,935,527,5790.08,2021-07-29 06:03,0,none
cash-in,627,565,8575.16,2023-05-01 20:01,0,none
cash-in,894,857,72.69,2020-01-27 07:59,0,none
transfer,314,44,7370.3,2022-06-29 01:27,0,none
transfer,672,247,7557.03,2020-09-30 09:38,0,none
transfer,526,564,9247.45,2021-07-09 20:07,0,none
transfer,571,564,7279.29,2023-02-07 12:57,0,none
transfer,347,303,1084.32,2021-05-08 04:46,0,none
cash-in,918,187,2502.17,2022-08-17 16:00,0,none
transfer,378,521,5062.18,2021-08-15 19:17,0,none
cash-in,334,48,541.98,2023-02-19 15:05,0,none
transfer,266,517,19951.98,2020-03-02 03:30,1,type1
transfer,266,312,19333.16,2020-10-11 19:21,1,type1
transfer,266,887,20947.31,2023-11-08 13:46,1,type1
transfer,266,702,19509.68,2020-12-21 17:05,1,type1
transfer,266,195,19943.23,2024-07-23 12:43,1,type1
transfer,187,578,697.95,2021-03-04 16:14,1,type2
transfer,57,269,719.76,2021-03-04 16:15,1,type2
transfer,429,177,720.04,2021-03-04 16:16,1,type2
transfer,38,871,714.55,2021-03-04 16:17,1,type2
transfer,263,374,716.3,2021-03-04 16:18,1,type2
transfer,865,759,19945.77,2024-02-23 21:11,1,type3
transfer,790,759,20122.78,2024-05-28 03:53,1,type3
transfer,342,759,20854.65,2021-03-20 09:33,1,type3
transfer,660,759,19845.95,2021-03-12 13:20,1,type3
transfer,937,759,20214.13,2020-07-21 19:41,1,type3
cash-in,138,504,1140.43,2020-10-15 05:05,0,none
transfer,128,406,2046.82,2023-02-14 23:23,0,none
cash-in,883,169,1064.49,2024-11-08 00:50,0,none
cash-in,820,179,2019.87,2024-09-08 16:41,0,none
transfer,22,457,2218.33,2023-05-29 08:17,0,none
transfer,859,357,606.16,2023-11-07 10:10,0,none
transfer,463,163,9405.23,2023-09-26 09:56,0,none
transfer,975,20,1748.62,2023-07-28 01:48,0,none
cash-in,492,420,587.1,2021-11-21 02:05,0,none
cash-in,339,676,5709.23,2023-04-01 05:53,0,none
transfer,89,482,3742.21,2023-06-08 22:45,0,none
cash-in,199,16,4411.54,2023-03-01 11:17,0,none
cash-in,404,817,1346.41,2024-01-08 16:39,0,none
cash-in,68,90,8419.21,2024-10-01 08:57,0,none
cash-in,714,816,5822.84,2023-01-03 17:41,0,none
transfer,86,743,19145.03,2021-05-31 09:58,1,type1
transfer,86,59,19914.6,2020-08-20 07:45,1,type1
transfer,86,450,20584.04,2022-09-12 21:00,1,type1
transfer,86,725,20833.5,2022-06-25 20:28,1,type1
transfer,86,253,19835.24,2023-06-17 11:09,1,type1
transfer,694,198,273.24,2020-10-21 19:38,1,type2
transfer,404,163,287.11,2020-10-21 19:39,1,type2
transfer,369,634,282.66,2020-10-21 19:40,1,type2
